property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,m3m capital,sector 113,1.83,13969,2,2,0,7,New Property,1310,0,0,0,0,0,0,68,"28.5287° N, 77.0233° E",28.5287,77.0233
house,independent,sector 4,3.2,14222,3,3,2,2,Old Property,2250,0,0,0,0,0,0,13,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,breez global heights 88a,sector 88a,0.5,8375,3,2,2,2,Under Construction,663,0,0,0,0,0,0,15,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,south city 1 floors,sector 41,3.4,11724,4,4,3,0,Old Property,2900,0,0,0,0,0,0,0,"28.4557° N, 77.0632° E",28.4557,77.0632
flat,adani m2k oyster grande,sector 102,4.55,10000,4,4,3+,11,Relatively New,4630,0,0,0,0,0,1,60,"28.4750° N, 76.9715° E",28.475,76.9715
flat,vatika city,sector 49,1.72,7818,3,3,2,2,Old Property,2444,0,0,0,0,0,1,144,"28.4121° N, 77.0480° E",28.4121,77.048
flat,smart world orchard,sector 61,2.2,13497,3,3,2,1,Under Construction,1778,0,0,0,0,0,0,49,"28.4050° N, 77.0963° E",28.405,77.0963
flat,vatika iris floors,sector 82,0.63,5590,2,2,3+,2,Relatively New,1026,1,0,0,0,0,0,110,"28.3935° N, 76.9600° E",28.3935,76.96
flat,corona optus,sector 37,1.4,7035,3,3,3+,4,Relatively New,1890,0,1,0,0,0,0,149,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,unitech south park,sector 70,1.13,7001,3,3,2,1,Under Construction,1457,0,0,0,0,0,0,46,"28.3968° N, 77.0233° E",28.3968,77.0233
house,hero homes,sector 104,1.95,21196,3,5,3+,2,Moderately Old,920,0,0,0,0,0,0,64,"28.4788° N, 76.9960° E",28.4788,76.996
flat,shree vardhman victoria,sector 70,1.75,8974,3,5,0,0,Relatively New,1950,0,0,0,0,0,0,47,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,indiabulls centrum park,sector 103,2.45,8522,4,4,3,11,Relatively New,2602,1,1,1,1,0,0,38,"28.4949° N, 76.9845° E",28.4949,76.9845
house,vatika signature villas,sector 82,4.7,21759,3,3,3+,3,New Property,2160,0,1,0,0,0,0,33,"28.3935° N, 76.9600° E",28.3935,76.96
house,independent,sector 28,0.7,8102,2,2,0,2,Old Property,864,0,0,0,0,0,0,7,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,m3m soulitude,sector 89,1.3,8701,3,3,2,1,New Property,1179,0,0,0,0,1,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
house,international city by sobha phase 2,sector 109,6.5,12037,4,4,3+,1,New Property,5400,0,1,0,0,0,1,160,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,signature global the millennia,sector 37d,0.55,9167,2,2,3,3,New Property,543,0,0,0,0,0,0,53,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,m3m woodshire,sector 107,1.15,7497,2,2,3,0,Relatively New,1281,1,0,0,0,0,0,29,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,emaar mgf the palm drive,sector 66,3.5,16471,3,4,3,6,Relatively New,2150,0,1,0,0,0,0,68,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,dlf regal gardens,sector 90,1.78,8036,4,4,3+,8,Relatively New,2000,0,0,0,0,0,0,126,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sanskriti apartments,sector 43,2.5,13514,3,2,3,5,Old Property,1674,1,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
house,independent,sector 38,3.9,21242,6,6,3+,3,Moderately Old,1836,1,1,0,1,0,0,32,"28.4347° N, 77.0430° E",28.4347,77.043
house,independent,sector 3,0.55,6707,2,2,1,2,Moderately Old,810,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,bptp terra,sector 37d,1.67,7622,4,4,3,11,Relatively New,2091,0,0,0,0,0,1,149,"28.4478° N, 76.9703° E",28.4478,76.9703
